http://www.okkam.org/ontology_restaurant1.owl#name,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,entityUrl,http://www.okkam.org/ontology_restaurant1.owl#phone_number,http://www.okkam.org/ontology_restaurant1.owl#has_address,http://www.okkam.org/ontology_restaurant1.owl#category,http://www.okkam.org/ontology_restaurant1.owl#street,http://www.okkam.org/ontology_restaurant1.owl#is_in_city
new york,http://www.okkam.org/ontology_restaurant1.owl#City,http://www.okkam.org/oaie/restaurant1-City65,,,,,
la grotta,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,http://www.okkam.org/oaie/restaurant1-Restaurant85,404/231-1368,http://www.okkam.org/oaie/restaurant1-Address85,italian,,
fenix,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,http://www.okkam.org/oaie/restaurant1-Restaurant7,213/848-6677,http://www.okkam.org/oaie/restaurant1-Address7,american,,
,http://www.okkam.org/ontology_restaurant1.owl#Address,http://www.okkam.org/oaie/restaurant1-Address101,,,,570 4th st.,http://www.okkam.org/oaie/restaurant1-City101
,http://www.okkam.org/ontology_restaurant1.owl#Address,http://www.okkam.org/oaie/restaurant1-Address60,,,,43 w. 65th st.,http://www.okkam.org/oaie/restaurant1-City60
new york,http://www.okkam.org/ontology_restaurant1.owl#City,http://www.okkam.org/oaie/restaurant1-City35,,,,,
rainbow room,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,http://www.okkam.org/oaie/restaurant1-Restaurant55,212/632-5000,http://www.okkam.org/oaie/restaurant1-Address55,or 212/632-5100 american,,
,http://www.okkam.org/ontology_restaurant1.owl#Address,http://www.okkam.org/oaie/restaurant1-Address30,,,,2 harrison st.  near hudson st.,http://www.okkam.org/oaie/restaurant1-City30
aureole,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,http://www.okkam.org/oaie/restaurant1-Restaurant25,212/ 319-1660,http://www.okkam.org/oaie/restaurant1-Address25,american,,
atlanta,http://www.okkam.org/ontology_restaurant1.owl#City,http://www.okkam.org/oaie/restaurant1-City77,,,,,
cafe claude,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,http://www.okkam.org/oaie/restaurant1-Restaurant97,415/392-3505,http://www.okkam.org/oaie/restaurant1-Address97,french,,
los angeles,http://www.okkam.org/ontology_restaurant1.owl#City,http://www.okkam.org/oaie/restaurant1-City6,,,,,
,http://www.okkam.org/ontology_restaurant1.owl#Address,http://www.okkam.org/oaie/restaurant1-Address72,,,,2880 las vegas blvd. s,http://www.okkam.org/oaie/restaurant1-City72
new york,http://www.okkam.org/ontology_restaurant1.owl#City,http://www.okkam.org/oaie/restaurant1-City47,,,,,
chin's,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,http://www.okkam.org/oaie/restaurant1-Restaurant67,702/733-8899,http://www.okkam.org/oaie/restaurant1-Address67,asian,,
,http://www.okkam.org/ontology_restaurant1.owl#Address,http://www.okkam.org/oaie/restaurant1-Address42,,,,160 central park s,http://www.okkam.org/oaie/restaurant1-City42
los angeles,http://www.okkam.org/ontology_restaurant1.owl#City,http://www.okkam.org/oaie/restaurant1-City17,,,,,
island spice,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,http://www.okkam.org/oaie/restaurant1-Restaurant37,212/765-1737,http://www.okkam.org/oaie/restaurant1-Address37,tel caribbean,,
,http://www.okkam.org/ontology_restaurant1.owl#Address,http://www.okkam.org/oaie/restaurant1-Address12,,,,8284 melrose ave.,http://www.okkam.org/oaie/restaurant1-City12
san francisco,http://www.okkam.org/ontology_restaurant1.owl#City,http://www.okkam.org/oaie/restaurant1-City101,,,,,
atlanta,http://www.okkam.org/ontology_restaurant1.owl#City,http://www.okkam.org/oaie/restaurant1-City89,,,,,
,http://www.okkam.org/ontology_restaurant1.owl#Address,http://www.okkam.org/oaie/restaurant1-Address84,,,,1397 n. highland ave.,http://www.okkam.org/oaie/restaurant1-City84
new york,http://www.okkam.org/ontology_restaurant1.owl#City,http://www.okkam.org/oaie/restaurant1-City59,,,,,
ciboulette,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,http://www.okkam.org/oaie/restaurant1-Restaurant79,404/874-7600,http://www.okkam.org/oaie/restaurant1-Address79,french,,
,http://www.okkam.org/ontology_restaurant1.owl#Address,http://www.okkam.org/oaie/restaurant1-Address6,,,,6703 melrose ave.,http://www.okkam.org/oaie/restaurant1-City6
,http://www.okkam.org/ontology_restaurant1.owl#Address,http://www.okkam.org/oaie/restaurant1-Address54,,,,95 ave. a at 6th st.,http://www.okkam.org/oaie/restaurant1-City54
new york,http://www.okkam.org/ontology_restaurant1.owl#City,http://www.okkam.org/oaie/restaurant1-City29,,,,,
rose pistola,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,http://www.okkam.org/oaie/restaurant1-Restaurant111,415/399-0499,http://www.okkam.org/oaie/restaurant1-Address111,italian,,
atlanta,http://www.okkam.org/ontology_restaurant1.owl#City,http://www.okkam.org/oaie/restaurant1-City90,,,,,
montrachet,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,http://www.okkam.org/oaie/restaurant1-Restaurant49,212/ 219-2777,http://www.okkam.org/oaie/restaurant1-Address49,french,,
,http://www.okkam.org/ontology_restaurant1.owl#Address,http://www.okkam.org/oaie/restaurant1-Address24,,,,13 w. 54th st.,http://www.okkam.org/oaie/restaurant1-City24
